output_batch_id,total_pct,ingredient_count,pct_entropy,total_pct_CHG,total_pct_Co,total_pct_WC,top1_element,top1_pct,top2_element,top2_pct,mean_CHG_TANBC60%,mean_CHG_CARBON_TOTAL_LU,mean_CHG_PARAFFIN_RATE,mean_CHG_WC_RATE,mean_CHG_CO_RATE,mean_CHG_VC_RATE,mean_CHG_CR2N_RATE,mean_CHG_NI_RATE,mean_CHG_MO2C_RATE,mean_CHG_TANBC60_RATE,mean_CHG_TIC_RATE,mean_CHG_%CTOT_LU,mean_CHG_CO%,mean_CHG_VC%,mean_CHG_CR2N%,mean_CHG_TIC%,mean_CHG_WC%,mean_CHG_4PS (G),mean_CHG_LOSS-VAC,mean_CHG_4PS (S),mean_CHG_HC,mean_CHG_CONTR 25,mean_CHG_CONTR 75,mean_CHG_CONTR125,mean_CHG_MO2C%,mean_CHG_NI%,mean_CHG_FS_AS_V,mean_CHG_%O_V,mean_Co_FS_AS_V,mean_Co_%O_V,mean_VC_FS_AS_V,mean_VC_%CTOT_V,mean_VC_%CFREE_V,mean_VC_%O_V,mean_VC_%CTOT_LU,mean_WC_FS_AS_V,mean_WC_FSASTM_V,mean_WC_%CTOT_V,mean_WC_%CFREE_V,mean_WC_%O_V,mean_WC_DPRESS_V,mean_WC_%CTOT_LU,mean_WC_D10_ASTM,mean_WC_D50_ASTM,mean_WC_D90_ASTM,mean_CHG_RESTRICT-USE,mean_CHG_FE%,mean_CHG_FE_RATE,total_pct_Par
1090,1001.0,6,1.237043927,150.5643196,73.0,778.0,WC,537.2636224,WC,243.5458377,0.00026534,5.848489008,1.963440722,91.46691979,6.653329676,0.16750153,0.358422223,1.095734505,0.109825526,0.041803586,0.330367925,5.894302729,3.170973791,0.051673632,0.100757164,0.003520137,96.44028574,155.505875,1.919767579,150.6644054,282.1561861,0.031632602,0.017634284,0.0,0.028199223,0.339021274,1.439901237,0.389514169,1.400620915,0.35911364,,,,,,4.814467979,3.86695183,6.12062054,0.01,0.026866646,8.766686542,6.125885906,1.846895266,5.158993293,9.337468513,,,,
1091,1001.0,7,1.051983414,144.2292829,72.38858718,770.5218845,WC,697.9749259,CHG,96.51646824,0.003641288,5.848284969,1.95029312,91.4146039,6.669369079,0.167687602,0.360432622,1.073680833,0.110473844,0.041789725,0.33024906,5.909229799,3.157294303,0.052419645,0.095935534,0.0,96.43735038,158.2838412,1.918845737,149.6878241,279.0999778,0.090410438,0.032719131,0.0,0.03070686,0.333364289,1.40344116,0.39314517,1.405862965,0.3587514,,,,,,4.764603579,3.892271295,6.111499239,0.010035632,0.029820361,8.815017687,6.129702333,1.672814566,4.868051626,8.483123757,,,,
1092,1001.0,6,0.760429782,146.8754049,72.56338645,778.0,WC,771.5408599,CHG,99.72595964,0.003612609,5.843502861,1.962319631,91.36608751,6.567284148,0.165696733,0.355713711,1.100238916,0.111618772,0.040648182,0.331953683,5.827614586,3.140432078,0.053206213,0.102704073,0.0,96.52289405,155.0794169,1.884590823,149.3268094,279.1694256,0.0,0.00581722,0.084863395,0.028562897,0.358671854,1.429028484,0.3929452,1.399363691,0.360734098,,,,,,4.80610122,3.880626651,6.110888268,0.010132305,0.03,8.81836273,6.129192468,1.651693058,4.87814379,9.697511763,,,,
1093,1001.0,7,1.265771097,147.8189325,72.60609304,776.328263,WC,531.4885294,WC,243.4247046,0.0,5.843122205,1.965878243,91.39825166,6.671182575,0.16576137,0.359243741,1.089501025,0.109931666,0.038066174,0.328960462,5.859234963,3.223031432,0.051792307,0.102324376,0.0,96.49843433,155.2972453,1.896403338,150.3921349,283.2128211,0.0,0.0,0.109246486,0.029226421,0.364848873,1.406693104,0.389129177,1.397631784,0.356185711,,,,,,4.768057448,3.896054309,6.12358192,0.01,0.03,8.812805846,6.129208505,1.658874055,4.891589399,8.974520908,,,,
1094,1001.0,6,0.753527722,148.91851,73.0,770.914557,WC,777.9547485,CHG,102.6909734,0.0,5.844662727,1.960010951,91.44026868,6.634348192,0.168048636,0.355853587,1.069695308,0.111134377,0.037880377,0.327976545,5.899835162,3.217003352,0.05300691,0.09963017,0.0,96.56756717,156.6341157,1.924458374,150.9076666,280.9357858,0.116854079,0.0,0.094861728,0.031473615,0.357555517,1.43338461,0.386984387,1.398513539,0.360451552,,,,,,4.777986338,3.902644023,6.13053923,0.01,0.03,8.802155943,6.130712347,1.656728966,4.855935545,8.478367756,,,,
1095,1001.0,7,1.316006958,147.0320389,72.76705495,778.0,WC,412.0282929,WC,363.0,0.007698589,5.846653871,1.947330873,91.39079832,6.57255652,0.166583365,0.359568624,1.067118153,0.110140244,0.040042926,0.330603195,5.850197299,3.145661154,0.051529015,0.098491212,0.001450769,96.44302866,157.3241167,1.887277024,149.8401102,281.5942962,0.0,0.0,0.0,0.02896844,0.356154485,1.461691562,0.391778079,1.40420788,0.36036407,,,,,,4.781022281,3.844146037,6.130471613,0.01,0.025470688,8.80457055,6.129703869,1.776336217,5.106538139,9.603958962,,,,
1096,1001.0,6,0.751560671,154.4890215,73.0,778.0,WC,773.9216307,CHG,101.302458,0.0,5.847214016,1.955582723,91.37456715,6.661829305,0.167815093,0.358033726,1.087741791,0.11063636,0.041685241,0.330152312,5.899275208,3.251683736,0.053532394,0.100686475,0.0,96.46521506,157.6030356,1.929222487,149.2842128,277.5415097,0.016279687,0.087373293,0.016942199,0.030198883,0.341152744,1.433239234,0.389628839,1.394601397,0.359497236,,,,,,4.838153474,3.772582566,6.130118141,0.01017791,0.020100032,8.813581794,6.129058131,1.917499778,5.41444067,9.769936892,,,,
1097,1001.0,7,1.222454989,150.4671984,72.45511424,778.0,WC,550.5671201,WC,228.4795555,0.006249476,5.846733712,1.965732445,91.44852387,6.597466511,0.167413769,0.36243357,1.087007067,0.110338734,0.040581315,0.32978002,5.831777967,3.271733421,0.054745931,0.100221007,0.0,96.48026249,157.4855598,1.914565697,150.2565366,278.2205062,0.0,0.079020508,0.0,0.02830801,0.348027758,1.463764046,0.387105955,1.403140572,0.361999963,,,,,,4.787776493,3.778127587,6.127511867,0.010212168,0.020198348,8.825538671,6.129252023,1.911795009,5.408648585,10.38283129,,,,
1098,1001.0,6,0.78233841,149.4487747,72.66148361,773.1761446,WC,777.0066563,CHG,97.70831579,0.0,5.843951876,1.97089158,91.37855278,6.58747777,0.165600715,0.359049996,1.086891406,0.108772758,0.040766198,0.327193463,5.825094915,3.187011192,0.052800227,0.099444382,0.001243098,96.52395816,155.9243617,1.89281426,150.1221417,282.9687521,0.0,0.0,0.0,0.028673534,0.337691993,1.430485123,0.386210251,1.404073941,0.35727842,,,,,,4.773745594,3.768026553,6.120454663,0.010099532,0.020031828,8.82246868,6.130753547,1.91759719,5.42864711,9.583966166,,,,
1099,1000.0,8,1.038871968,145.8112644,72.69983498,770.4753685,WC,685.4004553,CHG,97.02399269,0.00315936,5.842967399,1.970171519,91.35063098,6.575530768,0.167796688,0.360533636,1.092399058,0.109337059,0.041902159,0.326663483,5.812739565,3.23590717,0.053081449,0.099765613,0.0,96.55676498,156.9319974,1.916109506,150.7331157,281.0002013,0.107224415,0.0,0.068161068,0.029767654,0.356163903,1.429661496,0.391688347,1.30043948,0.447024845,,,,,,4.76658335,3.784357033,6.119525077,0.01,0.020140347,8.821905694,6.130752094,1.903326448,5.427857102,9.660653186,,,,
